,competicion,nombre_Equipo,escudo,plantilla,edad_media,extranjeros,valor
156,8.0,Newcastle United,//tmssl.akamaized.net//images/wappen/head/762.png?lm=1472921161,28,"26,0",20,"126,60 mill. €"
157,8.0,Aston Villa,//tmssl.akamaized.net//images/wappen/head/405.png?lm=1469443765,26,"26,5",13,"75,25 mill. €"
158,8.0,Norwich City,//tmssl.akamaized.net//images/wappen/head/1123.png?lm=1457723273,28,"28,1",17,"69,10 mill. €"
159,8.0,Derby County,//tmssl.akamaized.net//images/wappen/head/22.png?lm=1407654006,26,"27,1",14,"63,00 mill. €"
160,8.0,Sheffield Wednesday,//tmssl.akamaized.net//images/wappen/head/1035.png?lm=1462978198,29,"27,9",16,"62,50 mill. €"
161,8.0,FC Fulham,//tmssl.akamaized.net//images/wappen/head/931.png?lm=1403450246,23,"26,4",17,"49,25 mill. €"
162,8.0,Nottingham Forest,//tmssl.akamaized.net//images/wappen/head/703.png?lm=1470948121,30,"26,9",21,"48,15 mill. €"
163,8.0,Wolverhampton Wanderers,//tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784,28,"25,2",16,"45,95 mill. €"
164,8.0,Brighton & Hove Albion,//tmssl.akamaized.net//images/wappen/head/1237.png?lm=1407402868,26,"28,0",14,"45,45 mill. €"
165,8.0,FC Reading,//tmssl.akamaized.net//images/wappen/head/1032.png?lm=1457723329,32,"25,6",21,"38,65 mill. €"
166,8.0,Queens Park Rangers,//tmssl.akamaized.net//images/wappen/head/1039.png?lm=1464680692,26,"25,5",11,"36,25 mill. €"
167,8.0,Leeds United,//tmssl.akamaized.net//images/wappen/head/399.png?lm=1407654193,26,"25,2",15,"35,15 mill. €"
168,8.0,Cardiff City,//tmssl.akamaized.net//images/wappen/head/603.png?lm=1478337063,24,"28,3",22,"34,65 mill. €"
169,8.0,Birmingham City,//tmssl.akamaized.net//images/wappen/head/337.png?lm=1470948227,27,"26,3",12,"25,40 mill. €"
170,8.0,FC Brentford,//tmssl.akamaized.net//images/wappen/head/1148.png?lm=1468529758,23,"24,7",15,"23,55 mill. €"
171,8.0,Ipswich Town,//tmssl.akamaized.net//images/wappen/head/677.png?lm=1407655249,31,"26,4",14,"22,78 mill. €"
172,8.0,Blackburn Rovers,//tmssl.akamaized.net//images/wappen/head/164.png?lm=1407653638,24,"27,1",15,"21,60 mill. €"
173,8.0,Bristol City,//tmssl.akamaized.net//images/wappen/head/698.png?lm=1480871269,26,"25,9",10,"20,95 mill. €"
174,8.0,Huddersfield Town,//tmssl.akamaized.net//images/wappen/head/1110.png?lm=1458928331,25,"25,2",12,"19,55 mill. €"
175,8.0,Wigan Athletic,//tmssl.akamaized.net//images/wappen/head/1071.png?lm=1407653830,32,"25,7",12,"19,08 mill. €"
176,8.0,Preston North End,//tmssl.akamaized.net//images/wappen/head/466.png?lm=1414769167,26,"26,9",13,"17,20 mill. €"
177,8.0,Rotherham United,//tmssl.akamaized.net//images/wappen/head/1194.png?lm=1407655489,30,"26,6",14,"13,23 mill. €"
178,8.0,Burton Albion,//tmssl.akamaized.net//images/wappen/head/2963.png?lm=1411464349,27,"27,6",7,"12,90 mill. €"
179,8.0,FC Barnsley,//tmssl.akamaized.net//images/wappen/head/349.png?lm=1415447558,27,"23,1",10,"9,40 mill. €"
180,9.0,VfB Stuttgart,//tmssl.akamaized.net//images/wappen/head/79.png?lm=1487024087,26,"24,7",16,"44,50 mill. €"
181,9.0,Hannover 96,//tmssl.akamaized.net//images/wappen/head/42.png?lm=1396275305,27,"24,8",12,"32,15 mill. €"
182,9.0,Eintracht Braunschweig,//tmssl.akamaized.net//images/wappen/head/23.png?lm=1469477626,24,"25,8",11,"19,90 mill. €"
183,9.0,TSV 1860 München,//tmssl.akamaized.net//images/wappen/head/72.png?lm=1403081335,31,"25,8",16,"19,45 mill. €"
184,9.0,1.FC Union Berlin,//tmssl.akamaized.net//images/wappen/head/89.png?lm=1402956210,27,"26,6",12,"18,75 mill. €"
185,9.0,1.FC Nürnberg,//tmssl.akamaized.net//images/wappen/head/4.png?lm=1442864267,28,"25,6",13,"17,60 mill. €"
186,9.0,Karlsruher SC,//tmssl.akamaized.net//images/wappen/head/48.png?lm=1434793006,33,"24,6",13,"16,98 mill. €"
187,9.0,1.FC Kaiserslautern,//tmssl.akamaized.net//images/wappen/head/2.png?lm=1485279855,28,"24,2",9,"15,60 mill. €"
188,9.0,VfL Bochum,//tmssl.akamaized.net//images/wappen/head/80.png?lm=1403095524,34,"23,3",10,"15,55 mill. €"
189,9.0,FC St. Pauli,//tmssl.akamaized.net//images/wappen/head/35.png?lm=1403095139,28,"25,0",8,"15,33 mill. €"
190,9.0,SpVgg Greuther Fürth,//tmssl.akamaized.net//images/wappen/head/65.png?lm=1403081419,31,"24,8",13,"14,63 mill. €"
191,9.0,Arminia Bielefeld,//tmssl.akamaized.net//images/wappen/head/10.png?lm=1457972891,28,"26,5",4,"13,55 mill. €"
192,9.0,Fortuna Düsseldorf,//tmssl.akamaized.net//images/wappen/head/38.png?lm=1405514004,28,"24,9",7,"13,53 mill. €"
193,9.0,1.FC Heidenheim 1846,//tmssl.akamaized.net//images/wappen/head/2036.png?lm=1437980259,25,"24,7",6,"13,50 mill. €"
194,9.0,SG Dynamo Dresden,//tmssl.akamaized.net//images/wappen/head/129.png?lm=1403259018,27,"25,1",3,"12,60 mill. €"
195,9.0,SV Sandhausen,//tmssl.akamaized.net//images/wappen/head/254.png?lm=1478334876,27,"26,3",8,"12,13 mill. €"
196,9.0,FC Erzgebirge Aue,//tmssl.akamaized.net//images/wappen/head/94.png?lm=1402669560,26,"26,3",5,"10,65 mill. €"
197,9.0,Würzburger Kickers,//tmssl.akamaized.net//images/wappen/head/1557.png?lm=1411122987,24,"26,1",9,"10,43 mill. €"
