,nombre,logo,categoria
0,Premier League,//tmssl.akamaized.net//images/logo/normal/gb1.png?lm=1466545776,Primera División -  Inglaterra
1,LaLiga,//tmssl.akamaized.net//images/logo/normal/es1.png?lm=1468620254,Primera División -  España
2,Serie A,//tmssl.akamaized.net//images/logo/normal/it1.png?lm=1473075742,Primera División -  Italia
3,1.Bundesliga,//tmssl.akamaized.net//images/logo/normal/l1.png?lm=1408554662,Primera División -  Alemania
4,Ligue 1,//tmssl.akamaized.net//images/logo/normal/fr1.png?lm=1404072502,Primera División -  Francia
5,Süper Lig,//tmssl.akamaized.net//images/logo/normal/tr1.png?lm=1442110142,Primera División -  Turquía
6,Liga NOS,//tmssl.akamaized.net//images/logo/normal/po1.png?lm=1485174349,Primera División -  Portugal
7,LaLiga2,//tmssl.akamaized.net//images/logo/normal/es2.png?lm=1468620267,Segunda División -  España
8,Championship,//tmssl.akamaized.net//images/logo/normal/gb2.png?lm=1466589593,Segunda División -  Inglaterra
9,2.Bundesliga,//tmssl.akamaized.net//images/logo/normal/l2.png?lm=1408653255,Segunda División -  Alemania
10,Serie B,//tmssl.akamaized.net//images/logo/normal/it2.png?lm=1478691977,Segunda División -  Italia
